0,1,2
<p>w/ Merce Lemon &amp; Saddle Geese</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},"[""music"",""indoor"",""all-ages""]"
,{music},"[""music"",""rock"",""concert"",""festival""]"
<p>music at 9PM</p>,{music},"[""music""]"
<p>w/ Willy Tea Taylor</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},"[""music"",""indoor"",""all-ages""]"
"<p>We are happy to present Jeffrey Todd, performing in front of Phillip Corner's <em>Metal Meditations</em>&nbsp;which was used by Jeffrey in his composition. Come join us for a wonderful evening of sound!</p>","{music,gallery}","[""music"",""experimental"",""avant-garde"",""sound-art"",""performance""]"
"<p><em>Longyear Lecture, Division of Musicology and Ethnomusicology</em></p><p><br></p><p><strong>WHY MAKE MUSIC WITH NATURE?</strong></p><p><strong>David Rothenberg</strong>&nbsp;has long been interested in the musicality of sounds made by inhabitants of the animal world. He has jammed live with lyrebirds, broadcast his clarinet underwater for humpback whales, and covered himself in thirteen-year cicadas to wail away inside a wash of white noise.</p><p>Rothenberg presents a musical trajectory through several of his favorite species, revealing their distinct and evolved aesthetic senses in an attempt to show that music can reach across species lines, from human to animal, and back. Creatures whose musical worlds we will enter include the thrush nightingale, humpback whale, three-humped treehopper, snowy tree cricket, seventeen-year cicada, white-crested laughing thrush, superb lyrebird, European marsh warbler, lesser water boatman and the mountain pine bark beetle.</p><hr><p>Bio: </p><p>Musician and philosopher&nbsp;<strong>David Rothenberg</strong>&nbsp;is the author of&nbsp;Why Birds Sing&nbsp;(Basic Books and Penguin UK), also published in Italy, Spain, Taiwan, China, Korea, and Germany. In 2006 it was turned into a feature-length&nbsp;<a href=""https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fvimeo.com%2F511347786&amp;data=05%7C01%7CLance.Brunner%40uky.edu%7C321958e583634a94b84708db2ec19bbb%7C2b30530b69b64457b818481cb53d42ae%7C0%7C0%7C638155181315485191%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=LxySl1A8ZDNSAFEvjsH4RA547ogVJR6ev%2BIUYqW1fdo%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 51, 160);""><strong>TV documentary</strong></a>&nbsp;by the BBC.&nbsp;Rothenberg has also written&nbsp;Sudden Music,&nbsp;Blue Cliff Record,&nbsp;Hand’s End, and Always the Mountains.&nbsp;His writings have appeared in at least eleven languages.&nbsp;His latest book&nbsp;<a href=""https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.terranovapress.com%2Fbooks%2Fwhale-music-thousand-mile-songs-in-a-sea-of-sound&amp;data=05%7C01%7CLance.Brunner%40uky.edu%7C321958e583634a94b84708db2ec19bbb%7C2b30530b69b64457b818481cb53d42ae%7C0%7C0%7C638155181315640405%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=QRLNWNbiVq16zurXQ4p7iXlvNxBdEARwFwBranqLa0o%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 51, 160);""><strong>Whale Music</strong></a>&nbsp;(Terra Nova/MIT Press), about making music with whales, comes out in February 2023</p><p>Rothenberg is distinguished professor of philosophy and music at the New Jersey Institute of Technology.&nbsp;</p><p><a href=""https://nam04.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.davidrothenberg.net%2F&amp;data=05%7C01%7CLance.Brunner%40uky.edu%7C321958e583634a94b84708db2ec19bbb%7C2b30530b69b64457b818481cb53d42ae%7C0%7C0%7C638155181315796657%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=TrCmJTxX9HTL5%2BUh9vixzwbo%2BfdvXlzzjQXM3PmlKOc%3D&amp;reserved=0"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 51, 160);""><strong>www.davidrothenberg.net</strong></a></p>","{talk,music}","[""music"",""nature"",""talk"",""literary-arts""]"
"<p><span style=""color: rgb(5, 5, 5);"">We’ve got a huge kick off party with a wonderful performance from Bee Taylor! Friday night! come on out for an evening like no other!</span></p>",{music},"[""music"",""party"",""performance""]"
"<p><span style=""color: rgb(5, 5, 5);"">We’ve got a massive album release with Shawnthony Calypso!!!! They’ll be jamming down Saturday night to bring June in with a bang! They’ll be joined by The Clap, Tides, &amp; DJ Best Western! </span></p>",{music},"[""music"",""album-release"",""festival"",""comedy""]"
"<p>Come out to Brick Oven Pizzeria and Pub for good food, good music, and lots of fun!</p>",{music},"[""music"",""pub"",""food""]"
"<p>21+</p><p><span style=""color: rgb(5, 5, 5);"">""The Baja Yetis serve up a funk based soul stew that is sure to get you up on your feet and take you to your happy place!""</span></p>",{music},"[""music"",""funk"",""soul"",""21+""]"
